REGION,TERRITORIO
21 HUASTECA,2101 AGUASCALIENTES
63 GOLFO,6302 COATZACOALCOS
51 METRO PONIENTE,5105 TECAMAC
60 PUEBLA,6002 PUEBLA
11 PACIFICO,1104 TEPIC
20 NORESTE,2004 SAN PEDRO GARZA
20 NORESTE,2002 GUADALUPE
40 METRO ORIENTE,4006 ECATEPEC
30 COSTA OCCIDENTE,3001 PUERTO VALLARTA
42 SUR,4204 QUECHULTENANGO
52 VALLE DE TOLUCA,5207 TEXMELUCAN
32 MICHOACÁN,3202 URUAPAN
40 METRO ORIENTE,4004 TEXCOCO
41 METRO SURORIENTE,4104 TLALPAN
40 METRO ORIENTE,4005 ACOLMAN
42 SUR,4205 ACAPULCO
21 HUASTECA,2106 PACHUCA
52 VALLE DE TOLUCA,5201 TOLUCA
21 HUASTECA,2105 TULA
12 LAGUNA CHIHUAHUA,1203 JUAREZ
51 METRO PONIENTE,5104 HUIXQUILUCAN
42 SUR,4204 QUECHULTENANGO
42 SUR,4208 OAXACA
32 MICHOACÁN,3201 MORELIA
63 GOLFO,6305 CIUDAD DEL CARMEN
41 METRO SURORIENTE,4101 IZTAPALAPA
42 SUR,4202 JIUTEPEC
41 METRO SURORIENTE,4101 IZTAPALAPA
20 NORESTE,2006 TAMPICO
40 METRO ORIENTE,4003 CHIMALHUACAN
10 FRONTERA OESTE,1001 TIJUANA
60 PUEBLA,6005 ORIZABA
52 VALLE DE TOLUCA,5204 TIANGUISTENCO
21 HUASTECA,2102 SAN LUIS POTOSÍ
52 VALLE DE TOLUCA,5205 ATLACOMULCO
42 SUR,4205 ACAPULCO
20 NORESTE,2006 TAMPICO
60 PUEBLA,6001 TEHUACAN
12 LAGUNA CHIHUAHUA,1202 TORREON
61 CHIAPAS,6101 TUXTLA
50 METRO NORPONIENTE,5004 COACALCO
21 HUASTECA,2105 TULA
61 CHIAPAS,6104 JUCHITAN
41 METRO SURORIENTE,4103 COYOACAN
41 METRO SURORIENTE,4103 COYOACAN
41 METRO SURORIENTE,4106 CHALCO
30 COSTA OCCIDENTE,3003 OCOTLAN
21 HUASTECA,2107 TULANCINGO
10 FRONTERA OESTE,1001 TIJUANA
20 NORESTE,2005 ESCOBEDO
40 METRO ORIENTE,4005 ACOLMAN
30 COSTA OCCIDENTE,3002 JALISCO SUR
12 LAGUNA CHIHUAHUA,1201 DURANGO
33 BAJIO,3302 SAN MIGUEL DE ALLENDE
21 HUASTECA,2105 TULA
20 NORESTE,2001 REYNOSA
50 METRO NORPONIENTE,5005 AZCAPOTZALCO
40 METRO ORIENTE,4003 CHIMALHUACAN
41 METRO SURORIENTE,4103 COYOACAN
40 METRO ORIENTE,4001 GUSTAVO A. MADERO
20 NORESTE,2001 REYNOSA
33 BAJIO,3301 LEON
62 PENINSULA,6205 PLAYA DEL CARMEN
40 METRO ORIENTE,4006 ECATEPEC
42 SUR,4203 CUAUTLA
31 JALISCO,3101 ALTOS JALISCO
12 LAGUNA CHIHUAHUA,1204 CHIHUAHUA DELICIAS
40 METRO ORIENTE,4002 NEZAHUALCOYOTL
51 METRO PONIENTE,5103 BENITO JUAREZ
60 PUEBLA,6003 ZACAPOAXTLA
51 METRO PONIENTE,5101 CUAUHTEMOC
42 SUR,4205 ACAPULCO
63 GOLFO,6304 HUIMANGUILLO
63 GOLFO,6303 VILLAHERMOSA
41 METRO SURORIENTE,4104 TLALPAN
10 FRONTERA OESTE,1002 MEXICALI
52 VALLE DE TOLUCA,5205 ATLACOMULCO
63 GOLFO,6305 CIUDAD DEL CARMEN
33 BAJIO,3303 IRAPUATO
62 PENINSULA,6205 PLAYA DEL CARMEN
11 PACIFICO,1104 TEPIC
40 METRO ORIENTE,4001 GUSTAVO A. MADERO
60 PUEBLA,6004 VERACRUZ
42 SUR,4202 JIUTEPEC
52 VALLE DE TOLUCA,5202 VALLE DE BRAVO
41 METRO SURORIENTE,4105 TLAHUAC
33 BAJIO,3305 QUERÉTARO
52 VALLE DE TOLUCA,5205 ATLACOMULCO
52 VALLE DE TOLUCA,5202 VALLE DE BRAVO
33 BAJIO,3305 QUERÉTARO
62 PENINSULA,6203 MERIDA
60 PUEBLA,6002 PUEBLA
41 METRO SURORIENTE,4106 CHALCO
62 PENINSULA,6204 UMAN
32 MICHOACÁN,3201 MORELIA
33 BAJIO,3301 LEON
31 JALISCO,3101 ALTOS JALISCO
20 NORESTE,2003 MONTERREY
41 METRO SURORIENTE,4103 COYOACAN
42 SUR,4203 CUAUTLA
30 COSTA OCCIDENTE,3004 COLIMA
20 NORESTE,2001 REYNOSA
40 METRO ORIENTE,4003 CHIMALHUACAN
50 METRO NORPONIENTE,5002 ATIZAPAN
41 METRO SURORIENTE,4102 ALVARO OBREGON
12 LAGUNA CHIHUAHUA,1203 JUAREZ
20 NORESTE,2001 REYNOSA
20 NORESTE,2003 MONTERREY
31 JALISCO,3102 ZAPOPAN
30 COSTA OCCIDENTE,3001 PUERTO VALLARTA
21 HUASTECA,2102 SAN LUIS POTOSÍ
41 METRO SURORIENTE,4102 ALVARO OBREGON
61 CHIAPAS,6103 MEZCALAPA
12 LAGUNA CHIHUAHUA,1203 JUAREZ
61 CHIAPAS,6103 MEZCALAPA
33 BAJIO,3305 QUERÉTARO
50 METRO NORPONIENTE,5001 CUAUTITLAN IZCALLI
52 VALLE DE TOLUCA,5202 VALLE DE BRAVO
62 PENINSULA,6203 MERIDA
20 NORESTE,2006 TAMPICO
61 CHIAPAS,6101 TUXTLA
33 BAJIO,3304 CELAYA
12 LAGUNA CHIHUAHUA,1204 CHIHUAHUA DELICIAS
32 MICHOACÁN,3204 PATZCUARO
41 METRO SURORIENTE,4105 TLAHUAC
32 MICHOACÁN,3202 URUAPAN
60 PUEBLA,6001 TEHUACAN
30 COSTA OCCIDENTE,3003 OCOTLAN
52 VALLE DE TOLUCA,5206 CHIAUTEMPAN
33 BAJIO,3304 CELAYA
21 HUASTECA,2105 TULA
20 NORESTE,2001 REYNOSA
11 PACIFICO,1103 MAZATLAN CULIACAN
20 NORESTE,2001 REYNOSA
21 HUASTECA,2101 AGUASCALIENTES
40 METRO ORIENTE,4006 ECATEPEC
42 SUR,4204 QUECHULTENANGO
12 LAGUNA CHIHUAHUA,1201 DURANGO
50 METRO NORPONIENTE,5003 TLALNEPANTLA
12 LAGUNA CHIHUAHUA,1203 JUAREZ
10 FRONTERA OESTE,1002 MEXICALI
30 COSTA OCCIDENTE,3003 OCOTLAN
51 METRO PONIENTE,5102 IZTACALCO
60 PUEBLA,6005 ORIZABA
60 PUEBLA,6002 PUEBLA
52 VALLE DE TOLUCA,5207 TEXMELUCAN
12 LAGUNA CHIHUAHUA,1203 JUAREZ
62 PENINSULA,6203 MERIDA
42 SUR,4201 CUERNAVACA
60 PUEBLA,6004 VERACRUZ
41 METRO SURORIENTE,4107 XOCHIMILCO
42 SUR,4204 QUECHULTENANGO
50 METRO NORPONIENTE,5003 TLALNEPANTLA
33 BAJIO,3302 SAN MIGUEL DE ALLENDE
40 METRO ORIENTE,4001 GUSTAVO A. MADERO
31 JALISCO,3102 ZAPOPAN
12 LAGUNA CHIHUAHUA,1204 CHIHUAHUA DELICIAS
62 PENINSULA,6205 PLAYA DEL CARMEN
21 HUASTECA,2105 TULA
51 METRO PONIENTE,5104 HUIXQUILUCAN
32 MICHOACÁN,3203 ZACAPU
32 MICHOACÁN,3204 PATZCUARO
60 PUEBLA,6005 ORIZABA
51 METRO PONIENTE,5106 NAUCALPAN
21 HUASTECA,2106 PACHUCA
21 HUASTECA,2104 ZACATECAS
51 METRO PONIENTE,5102 IZTACALCO
60 PUEBLA,6002 PUEBLA
60 PUEBLA,6005 ORIZABA
42 SUR,4205 ACAPULCO
62 PENINSULA,6205 PLAYA DEL CARMEN
51 METRO PONIENTE,5106 NAUCALPAN
21 HUASTECA,2102 SAN LUIS POTOSÍ
33 BAJIO,3302 SAN MIGUEL DE ALLENDE
50 METRO NORPONIENTE,5001 CUAUTITLAN IZCALLI
30 COSTA OCCIDENTE,3004 COLIMA
40 METRO ORIENTE,4001 GUSTAVO A. MADERO
52 VALLE DE TOLUCA,5207 TEXMELUCAN
20 NORESTE,2002 GUADALUPE
31 JALISCO,3103 GUADALAJARA
21 HUASTECA,2103 SAN LUIS FORANEO
50 METRO NORPONIENTE,5002 ATIZAPAN
42 SUR,4202 JIUTEPEC
61 CHIAPAS,6101 TUXTLA
30 COSTA OCCIDENTE,3002 JALISCO SUR
41 METRO SURORIENTE,4101 IZTAPALAPA
60 PUEBLA,6001 TEHUACAN
10 FRONTERA OESTE,1002 MEXICALI
32 MICHOACÁN,3202 URUAPAN
50 METRO NORPONIENTE,5004 COACALCO
10 FRONTERA OESTE,1001 TIJUANA
60 PUEBLA,6006 XALAPA
50 METRO NORPONIENTE,5004 COACALCO
12 LAGUNA CHIHUAHUA,1204 CHIHUAHUA DELICIAS
41 METRO SURORIENTE,4102 ALVARO OBREGON
20 NORESTE,2002 GUADALUPE
62 PENINSULA,6202 CAMPECHE
60 PUEBLA,6004 VERACRUZ
41 METRO SURORIENTE,4105 TLAHUAC
41 METRO SURORIENTE,4104 TLALPAN
52 VALLE DE TOLUCA,5203 LERMA
60 PUEBLA,6004 VERACRUZ
52 VALLE DE TOLUCA,5205 ATLACOMULCO
12 LAGUNA CHIHUAHUA,1201 DURANGO
63 GOLFO,6305 CIUDAD DEL CARMEN
61 CHIAPAS,6101 TUXTLA
61 CHIAPAS,6101 TUXTLA
31 JALISCO,3102 ZAPOPAN
40 METRO ORIENTE,4004 TEXCOCO
32 MICHOACÁN,3203 ZACAPU
30 COSTA OCCIDENTE,3004 COLIMA
33 BAJIO,3301 LEON
41 METRO SURORIENTE,4102 ALVARO OBREGON
62 PENINSULA,6202 CAMPECHE
40 METRO ORIENTE,4004 TEXCOCO
51 METRO PONIENTE,5106 NAUCALPAN
41 METRO SURORIENTE,4107 XOCHIMILCO
60 PUEBLA,6003 ZACAPOAXTLA
20 NORESTE,2003 MONTERREY
42 SUR,4204 QUECHULTENANGO
33 BAJIO,3302 SAN MIGUEL DE ALLENDE
62 PENINSULA,6201 CANCUN
21 HUASTECA,2104 ZACATECAS
51 METRO PONIENTE,5105 TECAMAC
10 FRONTERA OESTE,1001 TIJUANA
20 NORESTE,2003 MONTERREY
63 GOLFO,6303 VILLAHERMOSA
50 METRO NORPONIENTE,5006 VENUSTIANO CARRANZA
60 PUEBLA,6001 TEHUACAN
12 LAGUNA CHIHUAHUA,1202 TORREON
42 SUR,4207 TLACOLULA
31 JALISCO,3103 GUADALAJARA
42 SUR,4204 QUECHULTENANGO
31 JALISCO,3103 GUADALAJARA
20 NORESTE,2003 MONTERREY
41 METRO SURORIENTE,4102 ALVARO OBREGON
11 PACIFICO,1101 LA PAZ
31 JALISCO,3103 GUADALAJARA
41 METRO SURORIENTE,4102 ALVARO OBREGON
12 LAGUNA CHIHUAHUA,1201 DURANGO
41 METRO SURORIENTE,4107 XOCHIMILCO
42 SUR,4203 CUAUTLA
60 PUEBLA,6002 PUEBLA
51 METRO PONIENTE,5101 CUAUHTEMOC
60 PUEBLA,6001 TEHUACAN
30 COSTA OCCIDENTE,3003 OCOTLAN
41 METRO SURORIENTE,4102 ALVARO OBREGON
21 HUASTECA,2107 TULANCINGO
30 COSTA OCCIDENTE,3004 COLIMA
50 METRO NORPONIENTE,5003 TLALNEPANTLA
61 CHIAPAS,6104 JUCHITAN
62 PENINSULA,6202 CAMPECHE
20 NORESTE,2005 ESCOBEDO
40 METRO ORIENTE,4004 TEXCOCO
41 METRO SURORIENTE,4106 CHALCO
41 METRO SURORIENTE,4101 IZTAPALAPA
42 SUR,4208 OAXACA
42 SUR,4205 ACAPULCO
61 CHIAPAS,6101 TUXTLA
10 FRONTERA OESTE,1002 MEXICALI
21 HUASTECA,2104 ZACATECAS
60 PUEBLA,6002 PUEBLA
30 COSTA OCCIDENTE,3003 OCOTLAN
33 BAJIO,3301 LEON
62 PENINSULA,6205 PLAYA DEL CARMEN
41 METRO SURORIENTE,4106 CHALCO
11 PACIFICO,1102 SINALOA
32 MICHOACÁN,3204 PATZCUARO
52 VALLE DE TOLUCA,5206 CHIAUTEMPAN
11 PACIFICO,1104 TEPIC
51 METRO PONIENTE,5105 TECAMAC
32 MICHOACÁN,3204 PATZCUARO
20 NORESTE,2002 GUADALUPE
20 NORESTE,2007 POZA RICA
11 PACIFICO,1103 MAZATLAN CULIACAN
62 PENINSULA,6204 UMAN
60 PUEBLA,6003 ZACAPOAXTLA
41 METRO SURORIENTE,4104 TLALPAN
41 METRO SURORIENTE,4104 TLALPAN
40 METRO ORIENTE,4001 GUSTAVO A. MADERO
33 BAJIO,3301 LEON
42 SUR,4203 CUAUTLA
10 FRONTERA OESTE,1002 MEXICALI
20 NORESTE,2003 MONTERREY
63 GOLFO,6302 COATZACOALCOS
12 LAGUNA CHIHUAHUA,1201 DURANGO
40 METRO ORIENTE,4006 ECATEPEC
10 FRONTERA OESTE,1001 TIJUANA
10 FRONTERA OESTE,1002 MEXICALI
33 BAJIO,3302 SAN MIGUEL DE ALLENDE
30 COSTA OCCIDENTE,3004 COLIMA
33 BAJIO,3302 SAN MIGUEL DE ALLENDE
32 MICHOACÁN,3201 MORELIA
52 VALLE DE TOLUCA,5203 LERMA
62 PENINSULA,6202 CAMPECHE
20 NORESTE,2005 ESCOBEDO
21 HUASTECA,2106 PACHUCA
60 PUEBLA,6001 TEHUACAN
63 GOLFO,6301 ACAYUCAN
30 COSTA OCCIDENTE,3003 OCOTLAN
52 VALLE DE TOLUCA,5204 TIANGUISTENCO
31 JALISCO,3104 TONALA
61 CHIAPAS,6104 JUCHITAN
33 BAJIO,3303 IRAPUATO
21 HUASTECA,2101 AGUASCALIENTES
31 JALISCO,3103 GUADALAJARA
20 NORESTE,2008 MARTINEZ DE LA TORRE
63 GOLFO,6303 VILLAHERMOSA
31 JALISCO,3104 TONALA
52 VALLE DE TOLUCA,5203 LERMA
21 HUASTECA,2106 PACHUCA
42 SUR,4208 OAXACA
61 CHIAPAS,6101 TUXTLA
62 PENINSULA,6201 CANCUN
20 NORESTE,2004 SAN PEDRO GARZA
42 SUR,4206 PUNGARABATO
52 VALLE DE TOLUCA,5203 LERMA
42 SUR,4208 OAXACA
20 NORESTE,2007 POZA RICA
41 METRO SURORIENTE,4105 TLAHUAC
62 PENINSULA,6203 MERIDA
30 COSTA OCCIDENTE,3004 COLIMA
31 JALISCO,3105 TLAQUEPAQUE
32 MICHOACÁN,3204 PATZCUARO
62 PENINSULA,6201 CANCUN
30 COSTA OCCIDENTE,3002 JALISCO SUR
10 FRONTERA OESTE,1001 TIJUANA
61 CHIAPAS,6103 MEZCALAPA
60 PUEBLA,6001 TEHUACAN
40 METRO ORIENTE,4002 NEZAHUALCOYOTL
60 PUEBLA,6002 PUEBLA
41 METRO SURORIENTE,4105 TLAHUAC
42 SUR,4201 CUERNAVACA
12 LAGUNA CHIHUAHUA,1204 CHIHUAHUA DELICIAS
30 COSTA OCCIDENTE,3002 JALISCO SUR
41 METRO SURORIENTE,4107 XOCHIMILCO
41 METRO SURORIENTE,4102 ALVARO OBREGON
51 METRO PONIENTE,5105 TECAMAC
41 METRO SURORIENTE,4106 CHALCO
20 NORESTE,2004 SAN PEDRO GARZA
20 NORESTE,2003 MONTERREY
11 PACIFICO,1104 TEPIC
42 SUR,4204 QUECHULTENANGO
42 SUR,4204 QUECHULTENANGO
62 PENINSULA,6205 PLAYA DEL CARMEN
20 NORESTE,2007 POZA RICA
31 JALISCO,3101 ALTOS JALISCO
41 METRO SURORIENTE,4101 IZTAPALAPA
30 COSTA OCCIDENTE,3001 PUERTO VALLARTA
10 FRONTERA OESTE,1001 TIJUANA
50 METRO NORPONIENTE,5002 ATIZAPAN
51 METRO PONIENTE,5103 BENITO JUAREZ
42 SUR,4205 ACAPULCO
60 PUEBLA,6003 ZACAPOAXTLA
33 BAJIO,3305 QUERÉTARO
41 METRO SURORIENTE,4106 CHALCO
51 METRO PONIENTE,5105 TECAMAC
52 VALLE DE TOLUCA,5205 ATLACOMULCO
12 LAGUNA CHIHUAHUA,1204 CHIHUAHUA DELICIAS
31 JALISCO,3103 GUADALAJARA
30 COSTA OCCIDENTE,3001 PUERTO VALLARTA
12 LAGUNA CHIHUAHUA,1204 CHIHUAHUA DELICIAS
60 PUEBLA,6001 TEHUACAN
61 CHIAPAS,6102 TAPACHULA
60 PUEBLA,6005 ORIZABA
33 BAJIO,3303 IRAPUATO
50 METRO NORPONIENTE,5005 AZCAPOTZALCO
61 CHIAPAS,6101 TUXTLA
10 FRONTERA OESTE,1003 GUAYMAS Y NOGALES
20 NORESTE,2004 SAN PEDRO GARZA
42 SUR,4202 JIUTEPEC
62 PENINSULA,6204 UMAN
52 VALLE DE TOLUCA,5204 TIANGUISTENCO
60 PUEBLA,6005 ORIZABA
50 METRO NORPONIENTE,5004 COACALCO
33 BAJIO,3301 LEON
63 GOLFO,6305 CIUDAD DEL CARMEN
63 GOLFO,6304 HUIMANGUILLO
52 VALLE DE TOLUCA,5206 CHIAUTEMPAN
62 PENINSULA,6202 CAMPECHE
31 JALISCO,3105 TLAQUEPAQUE
42 SUR,4207 TLACOLULA
61 CHIAPAS,6104 JUCHITAN
41 METRO SURORIENTE,4101 IZTAPALAPA
33 BAJIO,3305 QUERÉTARO
10 FRONTERA OESTE,1003 GUAYMAS Y NOGALES
60 PUEBLA,6005 ORIZABA
60 PUEBLA,6005 ORIZABA
61 CHIAPAS,6103 MEZCALAPA
50 METRO NORPONIENTE,5003 TLALNEPANTLA
51 METRO PONIENTE,5101 CUAUHTEMOC
42 SUR,4208 OAXACA
10 FRONTERA OESTE,1003 GUAYMAS Y NOGALES
52 VALLE DE TOLUCA,5202 VALLE DE BRAVO
42 SUR,4206 PUNGARABATO
32 MICHOACÁN,3204 PATZCUARO
31 JALISCO,3103 GUADALAJARA
51 METRO PONIENTE,5105 TECAMAC
50 METRO NORPONIENTE,5002 ATIZAPAN
52 VALLE DE TOLUCA,5202 VALLE DE BRAVO
30 COSTA OCCIDENTE,3001 PUERTO VALLARTA
21 HUASTECA,2103 SAN LUIS FORANEO
21 HUASTECA,2103 SAN LUIS FORANEO
11 PACIFICO,1101 LA PAZ
60 PUEBLA,6001 TEHUACAN
30 COSTA OCCIDENTE,3001 PUERTO VALLARTA
52 VALLE DE TOLUCA,5203 LERMA
42 SUR,4201 CUERNAVACA
11 PACIFICO,1103 MAZATLAN CULIACAN
32 MICHOACÁN,3204 PATZCUARO
63 GOLFO,6302 COATZACOALCOS
21 HUASTECA,2105 TULA
32 MICHOACÁN,3201 MORELIA
21 HUASTECA,2101 AGUASCALIENTES
40 METRO ORIENTE,4005 ACOLMAN
20 NORESTE,2003 MONTERREY
32 MICHOACÁN,3201 MORELIA
30 COSTA OCCIDENTE,3003 OCOTLAN
32 MICHOACÁN,3204 PATZCUARO
21 HUASTECA,2107 TULANCINGO
50 METRO NORPONIENTE,5006 VENUSTIANO CARRANZA
62 PENINSULA,6203 MERIDA
33 BAJIO,3304 CELAYA
33 BAJIO,3304 CELAYA
60 PUEBLA,6002 PUEBLA
20 NORESTE,2003 MONTERREY
41 METRO SURORIENTE,4107 XOCHIMILCO
61 CHIAPAS,6101 TUXTLA
21 HUASTECA,2103 SAN LUIS FORANEO
42 SUR,4201 CUERNAVACA
11 PACIFICO,1104 TEPIC
33 BAJIO,3304 CELAYA
21 HUASTECA,2107 TULANCINGO
63 GOLFO,6302 COATZACOALCOS
41 METRO SURORIENTE,4107 XOCHIMILCO
40 METRO ORIENTE,4002 NEZAHUALCOYOTL
41 METRO SURORIENTE,4107 XOCHIMILCO
50 METRO NORPONIENTE,5003 TLALNEPANTLA
60 PUEBLA,6002 PUEBLA
42 SUR,4205 ACAPULCO
63 GOLFO,6305 CIUDAD DEL CARMEN
20 NORESTE,2007 POZA RICA
21 HUASTECA,2101 AGUASCALIENTES
51 METRO PONIENTE,5106 NAUCALPAN
63 GOLFO,6305 CIUDAD DEL CARMEN
31 JALISCO,3102 ZAPOPAN
33 BAJIO,3301 LEON
31 JALISCO,3105 TLAQUEPAQUE
31 JALISCO,3103 GUADALAJARA
12 LAGUNA CHIHUAHUA,1204 CHIHUAHUA DELICIAS
21 HUASTECA,2102 SAN LUIS POTOSÍ
40 METRO ORIENTE,4002 NEZAHUALCOYOTL
42 SUR,4202 JIUTEPEC
41 METRO SURORIENTE,4104 TLALPAN
63 GOLFO,6301 ACAYUCAN
32 MICHOACÁN,3203 ZACAPU
60 PUEBLA,6004 VERACRUZ
63 GOLFO,6302 COATZACOALCOS
60 PUEBLA,6002 PUEBLA
10 FRONTERA OESTE,1002 MEXICALI
60 PUEBLA,6002 PUEBLA
30 COSTA OCCIDENTE,3004 COLIMA
42 SUR,4201 CUERNAVACA
20 NORESTE,2003 MONTERREY
60 PUEBLA,6002 PUEBLA
40 METRO ORIENTE,4002 NEZAHUALCOYOTL
11 PACIFICO,1104 TEPIC
20 NORESTE,2008 MARTINEZ DE LA TORRE
63 GOLFO,6301 ACAYUCAN
60 PUEBLA,6002 PUEBLA
50 METRO NORPONIENTE,5003 TLALNEPANTLA
60 PUEBLA,6005 ORIZABA
60 PUEBLA,6002 PUEBLA
10 FRONTERA OESTE,1001 TIJUANA
10 FRONTERA OESTE,1004 HERMOSILLO
61 CHIAPAS,6102 TAPACHULA
42 SUR,4202 JIUTEPEC
52 VALLE DE TOLUCA,5202 VALLE DE BRAVO
42 SUR,4208 OAXACA
32 MICHOACÁN,3203 ZACAPU
50 METRO NORPONIENTE,5006 VENUSTIANO CARRANZA
30 COSTA OCCIDENTE,3004 COLIMA
42 SUR,4204 QUECHULTENANGO
32 MICHOACÁN,3204 PATZCUARO
50 METRO NORPONIENTE,5006 VENUSTIANO CARRANZA
21 HUASTECA,2107 TULANCINGO
60 PUEBLA,6001 TEHUACAN
20 NORESTE,2003 MONTERREY
21 HUASTECA,2102 SAN LUIS POTOSÍ
11 PACIFICO,1101 LA PAZ
50 METRO NORPONIENTE,5005 AZCAPOTZALCO
11 PACIFICO,1103 MAZATLAN CULIACAN
11 PACIFICO,1104 TEPIC
42 SUR,4202 JIUTEPEC
33 BAJIO,3303 IRAPUATO
20 NORESTE,2004 SAN PEDRO GARZA
33 BAJIO,3303 IRAPUATO
41 METRO SURORIENTE,4105 TLAHUAC
12 LAGUNA CHIHUAHUA,1202 TORREON
33 BAJIO,3303 IRAPUATO
31 JALISCO,3102 ZAPOPAN
33 BAJIO,3305 QUERÉTARO
31 JALISCO,3104 TONALA
31 JALISCO,3105 TLAQUEPAQUE
33 BAJIO,3302 SAN MIGUEL DE ALLENDE
42 SUR,4204 QUECHULTENANGO
21 HUASTECA,2101 AGUASCALIENTES
10 FRONTERA OESTE,1001 TIJUANA
60 PUEBLA,6006 XALAPA
42 SUR,4202 JIUTEPEC
32 MICHOACÁN,3202 URUAPAN
20 NORESTE,2006 TAMPICO
52 VALLE DE TOLUCA,5202 VALLE DE BRAVO
60 PUEBLA,6003 ZACAPOAXTLA
62 PENINSULA,6204 UMAN
33 BAJIO,3302 SAN MIGUEL DE ALLENDE
50 METRO NORPONIENTE,5004 COACALCO
20 NORESTE,2007 POZA RICA
42 SUR,4203 CUAUTLA
60 PUEBLA,6006 XALAPA
62 PENINSULA,6201 CANCUN
12 LAGUNA CHIHUAHUA,1201 DURANGO
41 METRO SURORIENTE,4106 CHALCO
21 HUASTECA,2104 ZACATECAS
42 SUR,4203 CUAUTLA
50 METRO NORPONIENTE,5005 AZCAPOTZALCO
33 BAJIO,3305 QUERÉTARO
10 FRONTERA OESTE,1002 MEXICALI
11 PACIFICO,1101 LA PAZ
42 SUR,4203 CUAUTLA
52 VALLE DE TOLUCA,5204 TIANGUISTENCO
33 BAJIO,3305 QUERÉTARO
33 BAJIO,3301 LEON
30 COSTA OCCIDENTE,3002 JALISCO SUR
50 METRO NORPONIENTE,5001 CUAUTITLAN IZCALLI
40 METRO ORIENTE,4006 ECATEPEC
42 SUR,4202 JIUTEPEC
61 CHIAPAS,6103 MEZCALAPA
51 METRO PONIENTE,5104 HUIXQUILUCAN
62 PENINSULA,6202 CAMPECHE
40 METRO ORIENTE,4003 CHIMALHUACAN
60 PUEBLA,6003 ZACAPOAXTLA
20 NORESTE,2004 SAN PEDRO GARZA
12 LAGUNA CHIHUAHUA,1205 COAHUILA
52 VALLE DE TOLUCA,5206 CHIAUTEMPAN
60 PUEBLA,6006 XALAPA
52 VALLE DE TOLUCA,5204 TIANGUISTENCO
10 FRONTERA OESTE,1001 TIJUANA
51 METRO PONIENTE,5106 NAUCALPAN
12 LAGUNA CHIHUAHUA,1204 CHIHUAHUA DELICIAS
21 HUASTECA,2106 PACHUCA
32 MICHOACÁN,3201 MORELIA
41 METRO SURORIENTE,4106 CHALCO
62 PENINSULA,6203 MERIDA
51 METRO PONIENTE,5105 TECAMAC
31 JALISCO,3101 ALTOS JALISCO
10 FRONTERA OESTE,1003 GUAYMAS Y NOGALES
52 VALLE DE TOLUCA,5202 VALLE DE BRAVO
20 NORESTE,2005 ESCOBEDO
30 COSTA OCCIDENTE,3001 PUERTO VALLARTA
21 HUASTECA,2102 SAN LUIS POTOSÍ
62 PENINSULA,6202 CAMPECHE
40 METRO ORIENTE,4003 CHIMALHUACAN
52 VALLE DE TOLUCA,5205 ATLACOMULCO
20 NORESTE,2004 SAN PEDRO GARZA
52 VALLE DE TOLUCA,5202 VALLE DE BRAVO
12 LAGUNA CHIHUAHUA,1205 COAHUILA
63 GOLFO,6303 VILLAHERMOSA
41 METRO SURORIENTE,4107 XOCHIMILCO
52 VALLE DE TOLUCA,5207 TEXMELUCAN
52 VALLE DE TOLUCA,5201 TOLUCA
52 VALLE DE TOLUCA,5203 LERMA
60 PUEBLA,6002 PUEBLA
21 HUASTECA,2103 SAN LUIS FORANEO
60 PUEBLA,6005 ORIZABA
51 METRO PONIENTE,5106 NAUCALPAN
30 COSTA OCCIDENTE,3001 PUERTO VALLARTA
31 JALISCO,3102 ZAPOPAN
60 PUEBLA,6001 TEHUACAN
63 GOLFO,6305 CIUDAD DEL CARMEN
12 LAGUNA CHIHUAHUA,1205 COAHUILA
63 GOLFO,6305 CIUDAD DEL CARMEN
50 METRO NORPONIENTE,5006 VENUSTIANO CARRANZA
41 METRO SURORIENTE,4102 ALVARO OBREGON
40 METRO ORIENTE,4005 ACOLMAN
33 BAJIO,3304 CELAYA
62 PENINSULA,6205 PLAYA DEL CARMEN
41 METRO SURORIENTE,4106 CHALCO
63 GOLFO,6303 VILLAHERMOSA
60 PUEBLA,6006 XALAPA
42 SUR,4203 CUAUTLA
61 CHIAPAS,6101 TUXTLA
61 CHIAPAS,6101 TUXTLA
63 GOLFO,6302 COATZACOALCOS
51 METRO PONIENTE,5101 CUAUHTEMOC
42 SUR,4205 ACAPULCO
32 MICHOACÁN,3203 ZACAPU
12 LAGUNA CHIHUAHUA,1202 TORREON
30 COSTA OCCIDENTE,3001 PUERTO VALLARTA
42 SUR,4202 JIUTEPEC
21 HUASTECA,2105 TULA
10 FRONTERA OESTE,1001 TIJUANA
40 METRO ORIENTE,4002 NEZAHUALCOYOTL
61 CHIAPAS,6101 TUXTLA
30 COSTA OCCIDENTE,3004 COLIMA
60 PUEBLA,6001 TEHUACAN
42 SUR,4205 ACAPULCO
42 SUR,4203 CUAUTLA
61 CHIAPAS,6101 TUXTLA
42 SUR,4204 QUECHULTENANGO
60 PUEBLA,6005 ORIZABA
31 JALISCO,3105 TLAQUEPAQUE
42 SUR,4207 TLACOLULA
60 PUEBLA,6005 ORIZABA
31 JALISCO,3102 ZAPOPAN
40 METRO ORIENTE,4001 GUSTAVO A. MADERO
62 PENINSULA,6203 MERIDA
